Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
53,191028_4,APOE2/2F,F,E22,A,Day3_Novel Object2,1,2Objects_NOR_2,6,12,0.46692607,9.2,12,0,4.2,1.4,8,13.7,0.53307393,20,10.2,3.5,2.6,1.2,14,66.3,1.987,0,0.031,38.8,25.7,61.4,11.1,16,27.4,1.383,9.1,0.047,22.6,6.9,2.6,5,6,8.9,0.3,3,1.5,84.7,0,,,3.37,13.7
54,191028_5,APOE2/2F,F,E22,A,Day3_Novel Object2,1,2Objects_NOR,7,18.8,0.614379085,49.1,11.5,7.3,2.4,0,5,11.8,0.385620915,13.6,11.8,0,3.4,0,16,65.6,3.686,1.5,0.055,54.5,13,67.9,3.5,12,19.7,1.141,0,0.06,13.4,5.6,0,5,1.2,63.4,0,3,0.8,57.9,0,10.5,8.7,4.827,3.5
55,191028_6,APOE2/2M,M,E22,B,Day3_Novel Object2,1,2Objects_NOR_2,4,2.7,1,30.9,0.7,2,2.5,1.3,0,0,0,,0,0,0,0,13,97,1.746,0,0.017,28.1,75.4,29.9,79.7,2,2.1,0.133,80.4,0.073,1.8,0,0,0,0,,0,1,2.7,80.5,0,,,1.879,79.7
56,191028_7,APOE2/2M,M,E22,B,Day3_Novel Object2,1,2Objects_NOR,2,4.4,0.444444444,24.7,4.4,0,0.5,0,4,5.5,0.555555556,31.9,5.5,0,1,0,18,79.3,3.419,0.5,0.039,36.5,50.3,51.3,30,10,14.1,0.705,35.5,0.038,14.8,3.7,0,2,0.6,35.4,0,4,5.7,0,0.7,17.5,18.9,4.124,30
57,191028_3,APOE2/2F,F,E22,A,Day5_NovelObject3,1,2Objects_NOR,4,5.2,0.390977444,49.5,5.2,0,1.1,0,4,8.1,0.609022556,35,5,3.2,2.5,0,18,78.1,4.131,0,0.055,48.4,27.2,60.8,20.6,12,19.2,1.177,8,0.079,12.4,2.5,0,2,1.2,34.4,0,6,6.5,8,0.2,17.6,17.8,5.308,20.6
58,191028_4,APOE2/2F,F,E22,A,Day5_NovelObject3,1,2Objects_NOR_2,5,11.1,0.411111111,11.4,8.2,2.9,3.2,0,11,15.9,0.588888889,0,10.8,5.1,7.9,1.8,13,65.2,1.135,1.8,0.018,28.8,34.4,52.1,15.8,12,28.2,1.144,10.1,0.049,23.3,0,0,3,1.5,44.2,0,3,1.1,3.9,0,,,2.279,15.8
59,191028_5,APOE2/2F,F,E22,A,Day5_NovelObject3,1,2Objects_NOR,4,5.1,0.356643357,16.8,5.1,0,2.1,0,4,9.2,0.643356643,7.1,7.1,2.1,2.9,0,13,91.7,3.611,0,0.04,43.3,47.6,52.4,33.3,8,12.9,0.887,6.7,0.097,9.1,0,0,4,1.5,9.5,0,4,2.3,6.6,0.1,18.1,18.9,4.498,33.3
60,191028_6,APOE2/2M,M,E22,B,Day5_NovelObject3,1,2Objects_NOR_2,5,8.3,0.553333333,2.5,8.3,0,1.9,0,5,6.7,0.446666667,12.3,4.2,2.5,2.8,0.7,17,73.6,2.334,3.9,0.033,49.4,21.9,66.5,22.4,7,17.2,1.054,0,0.054,17.1,2.5,0,2,0.8,107.1,0,2,1,0.8,0,,,3.388,22.4
61,191028_7,APOE2/2M,M,E22,B,Day5_NovelObject3,1,2Objects_NOR,9,14.9,0.58203125,16.8,10.7,4.1,3.2,0,10,10.7,0.41796875,29.1,5.7,5,3.6,0,21,67.6,2.875,0.4,0.047,41,20.4,54.6,15,16,20.7,1.108,9.2,0.065,13.6,3.3,0,1,0.1,,0,6,2.3,9.3,0,3.7,9.3,3.983,15
1,190715_1,APOE3/3M,M,E33,B,openfield,1,2Objects_NOR,31,42.5,0.689935065,16.2,18,24.5,9.7,6.8,22,19.1,0.310064935,0.9,14.7,4.4,1.5,1.3,103,285,7.682,13.2,0.037,156.4,53.5,227,6.9,65,154.1,5.431,0,0.04,70.6,66.2,19.2,23,31.6,50.7,0.3,21,22.5,70.6,0,63.4,79.5,13.113,26.1
2,190715_2,APOE3/3M,M,E33,B,openfield,1,2Objects_NOR_2,7,4.6,0.308724832,210.2,4.6,0,1,0,5,10.3,0.691275168,2.8,4.7,5.5,1.2,0,60,368.3,4.925,43.9,0.018,163.3,114.1,208.1,71.9,28,52.8,2.958,0,0.051,44.8,13.2,2.1,16,21.3,38.5,0,9,8.3,20.1,0,,,7.883,74
3,190715_4,HNf,F,HN,C,openfield,1,2Objects_NOR_2,19,15.1,0.48089172,38.1,8.4,6.6,5.4,5.4,16,16.3,0.51910828,3.2,15.8,0.5,3.5,1.3,67,372,8.682,0,0.027,186.3,138.5,231.4,54.9,37,77,3.49,3.9,0.052,45.1,22.7,10.5,20,29.9,17.9,0.2,17,17.6,88.4,0,,,12.172,65.4
4,190715_3,APOE3/3M,M,E33,B,openfield,1,2Objects_NOR,27,35.8,0.73814433,8.7,20.6,15.3,5.9,6.2,13,12.7,0.26185567,13.3,11.9,0.8,2.4,0,75,350.7,8.736,22.8,0.028,173.1,140.1,235.6,23,50,78.9,3.306,0,0.042,62.5,15.5,4.7,9,11.9,83.4,0,18,15.4,31.8,0,39.3,45,12.042,27.7
5,190715_6,APOE2/2M,M,E22,A,openfield,1,2Objects_NOR,21,26.1,0.674418605,66.5,16.2,9.9,2.7,3.3,23,12.6,0.325581395,46,12.1,0.5,2.1,0,83,293.7,2.997,2.5,0.023,81.1,50.8,163.4,9.4,65,142.8,7.076,13.1,0.055,82.3,45.2,18.7,32,27.4,12.7,0.3,22,17.2,59.7,0,53.1,53.8,10.073,28.1
6,190715_5,APOE2/2M,M,E22,A,openfield,1,2Objects_NOR_2,40,52.1,0.435254804,11.4,15.1,36.9,7.6,12,37,67.6,0.564745196,7.4,37.1,30.5,10.5,15.3,90,225.2,5.393,19.5,0.03,134,46.1,210.1,16.1,59,103.1,4.548,0,0.033,76.1,60.7,27.5,21,13.5,53.1,5.9,28,85.2,0.4,22.5,,,9.941,43.6
7,190715_7,APOE2/2F,F,E22,D,openfield,1,2Objects_NOR,36,23.6,0.577017115,14.6,20.9,2.7,5.9,0,33,17.3,0.422982885,13.6,14.1,3.3,4.8,1.3,108,390.4,10.473,2.4,0.034,220.6,88.5,302.5,14.7,82,93.1,9.355,0,0.085,81.9,27.9,9.8,30,19,21.9,0,20,15.7,38.7,0,27.4,28.8,19.828,24.5
8,190715_8,APOE2/2F,F,E22,D,openfield,1,2Objects_NOR_2,26,16.7,0.466480447,3.5,16.7,0,3.1,0,27,19.1,0.533519553,31.9,19.1,0,3.5,0,109,378.4,7.79,20.2,0.028,195.7,85.4,276.9,15.7,63,89.1,7.958,0,0.094,81.2,3.3,0,29,26.3,8.9,0,33,18,12.2,0,,,15.748,15.7
9,190715_9,APOE2/2M,M,E22,A,openfield,1,2Objects_NOR,31,24.9,0.54845815,24,20.7,4.2,7.5,1.9,21,20.5,0.45154185,27.3,15.5,5,7.2,0,94,329.7,5.175,4.7,0.021,141.6,110.4,230.5,23.2,54,112.3,5.541,0,0.046,88.9,30.9,2.5,31,22.5,41,0.1,14,8.3,47.1,0.1,64.5,46,10.716,25.7
